Year,Month,Value
2004,4,12456.25
2004,5,14834.5
2004,6,14383.5
2004,7,15884.0
2004,8,14472.25
2004,9,14556.0
2004,10,14498.4
2004,11,15352.75
2004,12,16487.0
2005,1,16716.25
2005,2,17738.0
2005,3,19661.0
2005,4,22123.8
2005,5,21239.0
2005,6,19793.25
2005,7,18826.4
2005,8,18301.25
2005,9,16307.2
2005,10,14983.0
2005,11,16946.25
2005,12,20868.2
2006,1,21474.5
2006,2,21759.25
2006,3,24338.4
2006,4,24918.25
2006,5,23819.0
2006,6,23690.4
2006,7,25121.0
2006,8,24678.25
2006,9,23142.4
2006,10,22559.5
2006,11,24101.5
2006,12,26079.4
2007,1,23999.0
2007,2,21949.5
2007,3,23741.6
2007,4,27238.25
2007,5,27066.0
2007,6,25101.0
2007,7,21855.0
2007,8,19122.8
2007,9,18718.75
2007,10,17554.75
2007,11,14504.8
2007,12,17435.5
2008,1,16416.0
2008,2,16660.2
2008,3,17751.5
2008,4,18588.0
2008,5,20864.2
2008,6,20864.0
2008,7,19657.75
2008,8,18112.8
2008,9,15863.75
2008,10,15594.0
2008,11,20067.25
2008,12,26778.0
2009,1,33239.4
2009,2,34559.75
2009,3,32508.5
2009,4,29628.25
2009,5,29773.4
2009,6,28696.5
2009,7,31448.8
2009,8,32470.75
2009,9,28365.5
2009,10,25547.4
2009,11,28923.0
2009,12,34176.5
2010,1,33779.8
2010,2,30451.25
2010,3,30477.0
2010,4,33668.2
2010,5,37620.75
2010,6,36949.75
2010,7,36806.8
2010,8,36691.5
2010,9,34894.5
2010,10,34273.8
2010,11,33256.0
2010,12,36271.6
2011,1,37545.5
2011,2,37768.5
2011,3,40591.5
2011,4,41154.0
2011,5,40409.0
2011,6,38049.25
2011,7,36882.0
2011,8,33754.0
2011,9,31585.0
2011,10,31323.75
2011,11,31621.25
2011,12,30339.2
2012,1,29037.0
2012,2,32237.0
2012,3,38650.6
2012,4,41619.25
2012,5,45724.5
2012,6,47596.4
2012,7,46162.25
2012,8,44894.6
2012,9,43873.75
2012,10,43912.25
2012,11,44657.0
2012,12,48177.0
2013,1,51252.5
2013,2,50711.25
2013,3,49566.8
2013,4,50550.5
2013,5,49915.6
2013,6,49193.25
2013,7,44797.5
2013,8,37432.2
2013,9,33253.5
2013,10,33618.0
2013,11,39174.2
2013,12,40412.0
2014,1,41058.4
2014,2,35099.25
2014,3,29081.0
2014,4,26473.75
2014,5,22750.2
2014,6,21225.5
2014,7,19479.5
2014,8,19495.6
2014,9,20262.5
2014,10,20273.8
2014,11,23559.0
2014,12,28080.25
2015,1,36601.4
2015,2,46688.75
2015,3,55299.5
2015,4,61380.75
2015,5,60367.6
2015,6,57182.75
2015,7,57312.0
2015,8,57388.5
2015,9,54482.5
2015,10,53568.8
2015,11,57459.25
2015,12,61149.75
2016,1,63943.2
2016,2,65188.0
2016,3,66657.75
2016,4,65502.6
2016,5,67657.25
2016,6,65357.25
2016,7,64295.2
2016,8,64639.75
2016,9,62614.0
2016,10,59461.5
2016,11,59558.5
2016,12,66400.0
2017,1,65521.25
2017,2,64103.25
2017,3,67152.0
2017,4,68053.0
2017,5,65742.0
2017,6,61417.6
2017,7,56684.5
2017,8,56798.25
2017,9,60047.6
2017,10,63839.5
2017,11,61789.0
2017,12,52238.0
2018,1,41309.0
2018,2,31941.0
2018,3,30448.2
2018,4,35519.25
2018,5,36509.25
2018,6,31754.0
2018,7,24175.0
2018,8,23713.6
2018,9,23300.75
2018,10,29339.0
2018,11,35976.6
2018,12,40779.0
2019,1,41573.5
2019,2,43976.5
2019,3,46961.2
2019,4,45132.5
2019,5,48553.4
2019,6,52711.5
2019,7,50567.0
2019,8,43000.0
2019,9,39920.5
2019,10,43780.0
2019,11,45285.6
2019,12,38671.5
2020,1,35714.8
2020,2,38236.5
2020,3,39613.5
2020,4,56831.25
2020,5,57986.4
2020,6,46926.75
2020,7,50002.2
2020,8,52721.75
2020,9,54743.75
2020,10,59464.2
2020,11,60373.25
2020,12,58353.25
2021,1,53570.0
2021,2,47297.75
2021,3,47594.0
2021,4,46147.6
2021,5,45490.5
2021,6,42810.0
2021,7,36951.8
2021,8,34084.0
2021,9,34886.5
2021,10,30809.8
2021,11,27227.25
2021,12,33767.4
2022,1,32647.75
2022,2,25034.5
2022,3,23925.75
2022,4,26931.0
2022,5,25973.25
2022,6,22340.0
